DBN,MS,Borough,CSD,total_students,testers_count,perc_tested,total_offers,perc_tested_offered,fof_testers,fof_offers,G_T,HS_Program,Citywide
30Q230,I.S. 230 (30Q230),Queens,D30,390,141,0.36,19,0.13,0,0,No,No,No
30Q235,ACADEMY FOR NEW AMERICANS (30Q235),Queens,D30,36,3,,3,,1,1,No,No,No
30Q286,"YOUNG WOMEN'S LEADERSHIP SCHOOL, ASTORIA (30Q286)",Queens,D30,88,27,0.31,3,,0,1,No,No,No
30Q291,HUNTERS POINT COMMUNITY MIDDLE SCHOOL (30Q291),Queens,D30,146,100,0.68,6,0.06,0,0,No,No,No
30Q300,THE 30TH AVENUE SCHOOL (G&T CITYWIDE) (30Q300),Queens,D30,46,42,0.91,24,0.57,0,0,Yes,No,Yes
30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION (30Q580),Queens,D30,59,36,0.61,14,0.39,0,0,No,Yes,Yes
31R002,I.S. R002 GEORGE L. EGBERT (31R002),StatenIsland,D31,340,93,0.27,9,0.10,0,0,No,No,No
31R007,I.S. 007 ELIAS BERNSTEIN (31R007),StatenIsland,D31,397,117,0.29,27,0.23,0,0,No,No,No
31R024,I.S. 024 MYRA S. BARNES (31R024),StatenIsland,D31,428,123,0.29,13,0.11,0,0,No,No,No
31R027,I.S. 027 ANNING S. PRALL (31R027),StatenIsland,D31,307,76,0.25,14,0.18,0,0,No,No,No
31R028,THE EAGLE ACADEMY FOR YOUNG MEN OF STATEN ISLAND (31R028),StatenIsland,D31,69,8,0.12,3,,0,1,No,No,No
31R034,I.S. 034 TOTTENVILLE (31R034),StatenIsland,D31,341,61,0.18,3,,0,1,No,No,No
31R048,P.S. 048 WILLIAM G. WILCOX (31R048),StatenIsland,D31,104,47,0.45,10,,0,0,No,No,No
31R049,I.S. 49 BERTA A. DREYFUS (31R049),StatenIsland,D31,162,20,0.12,3,,0,1,No,No,No
31R051,I.S. 051 EDWIN MARKHAM (31R051),StatenIsland,D31,340,51,0.15,3,,0,1,No,No,No
31R061,I.S. 061 WILLIAM A MORRIS (31R061),StatenIsland,D31,311,32,0.10,3,,0,1,No,No,No
31R063,MARSH AVENUE SCHOOL FOR EXPEDITIONARY LEARNING (31R063),StatenIsland,D31,146,51,0.35,3,,0,1,No,No,No
31R072,I.S. 072 ROCCO LAURIE (31R072),StatenIsland,D31,505,134,0.27,16,0.12,0,0,No,No,No
31R075,I.S. 075 FRANK D. PAULO (31R075),StatenIsland,D31,448,161,0.36,41,0.25,0,0,No,No,No
31R080,THE MICHAEL J. PETRIDES SCHOOL (31R080),StatenIsland,D31,82,28,0.34,3,,0,1,No,No,No
31R861,STATEN ISLAND SCHOOL OF CIVIC LEADERSHIP (31R861),StatenIsland,D31,88,21,0.24,3,,0,1,No,No,No
31Z000,TEST SCHOOL (31Z000),,,3,3,,3,,1,1,No,No,No
32K045,P.S./I.S. 045 HORACE E. GREENE (32K045),Brooklyn,D32,71,9,0.13,3,,0,1,No,No,No
32K162,J.H.S. 162 THE WILLOUGHBY (32K162),Brooklyn,D32,129,8,0.06,3,,0,1,No,No,No
32K291,J.H.S. 291 ROLAND HAYES (32K291),Brooklyn,D32,119,6,0.05,3,,0,1,No,No,No
32K347,I.S. 347 SCHOOL OF HUMANITIES (32K347),Brooklyn,D32,102,3,,3,,1,1,No,No,No
32K349,"I.S. 349 MATH, SCIENCE & TECH. (32K349)",Brooklyn,D32,98,9,0.09,3,,0,1,No,No,No
32K383,J.H.S. 383 PHILIPPA SCHUYLER (32K383),Brooklyn,D32,271,169,0.62,6,0.04,0,0,No,No,No
32K384,P.S. /I.S. 384 FRANCES E. CARTER (32K384),Brooklyn,D32,52,3,,3,,1,1,No,No,No
32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL (32K554),Brooklyn,D32,60,26,0.43,8,0.31,0,0,No,No,No
32K562,EVERGREEN MIDDLE SCHOOL FOR URBAN EXPLORATION (32K562),Brooklyn,D32,120,20,0.17,3,,0,1,No,No,No
75K036,P.S. 36 (75K036),Brooklyn,D75,3,3,,3,,1,1,No,No,No
75K053,P.S. K053 (75K053),Brooklyn,D75,6,3,,3,,1,1,No,No,No
75K077,P.S. K077 (75K077),Brooklyn,D75,3,3,,3,,1,1,No,No,No
75K140,P.S. K140 (75K140),Brooklyn,D75,16,3,,3,,1,1,No,No,No
75K141,P.S. K141 (75K141),Brooklyn,D75,3,3,,3,,1,1,No,No,No
75K231,P.S. K231 (75K231),Brooklyn,D75,8,3,,3,,1,1,No,No,No
75K368,P.S. 368 (75K368),Brooklyn,D75,14,3,,3,,1,1,No,No,No
75K369,P.S. K369 - COY L. COX SCHOOL (75K369),Brooklyn,D75,23,3,,3,,1,1,No,No,No
75K370,P.S. 370 (75K370),Brooklyn,D75,12,3,,3,,1,1,No,No,No
75K396,P.S. K396 (75K396),Brooklyn,D75,3,3,,3,,1,1,No,No,No
