DBN,Dist,loc_code,MS,Borough,CSD,total_students,testers_count,perc_tested,total_offers,perc_tested_offered,fof_testers,fof_offers,G_T,HS_Program,Citywide
84M351,84,M351,SUCCESS ACADEMY CHARTER SCHOOL - HARLEM 1 (84M351),Manhattan,Charter,47,15,31.9,0-5,NA,0,1,No,No,No
84M353,84,M353,NEW HEIGHTS ACADEMY CHARTER SCHOOL (84M353),Manhattan,Charter,9,0-5,NA,0-5,NA,1,1,No,No,No
84M382,84,M382,DREAM CHARTER SCHOOL (84M382),Manhattan,Charter,33,11,33.3,0-5,NA,0,1,No,No,No
84M384,84,M384,SUCCESS ACADEMY CHARTER SCHOOL - HARLEM 2 (84M384),Manhattan,Charter,21,15,71.4,0-5,NA,0,1,No,No,No
84M385,84,M385,SUCCESS ACADEMY CHARTER SCHOOL - HARLEM 3 (84M385),Manhattan,Charter,49,22,44.9,0-5,NA,0,1,No,No,No
84M388,84,M388,ST. HOPE LEADERSHIP ACADEMY CHARTER SCHOOL (84M388),Manhattan,Charter,79,14,17.7,0-5,NA,0,1,No,No,No
84M430,84,M430,THE EQUITY PROJECT CHARTER SCHOOL (TEP) (84M430),Manhattan,Charter,123,35,28.5,0-5,NA,0,1,No,No,No
84M478,84,M478,INWOOD ACADEMY FOR LEADERSHIP CHARTER SCHOOL (84M478),Manhattan,Charter,26,17,65.4,0-5,NA,0,1,No,No,No
84M481,84,M481,DEMOCRACY PREP HARLEM CHARTER SCHOOL (84M481),Manhattan,Charter,24,7,29.2,0-5,NA,0,1,No,No,No
84M482,84,M482,SUCCESS ACADEMY CHARTER SCHOOL - HARLEM 5 (84M482),Manhattan,Charter,64,37,57.8,0-5,NA,0,1,No,No,No
84M483,84,M483,NEW YORK FRENCH AMERICAN CHARTER SCHOOL (84M483),Manhattan,Charter,12,0-5,NA,0-5,NA,1,1,No,No,No
84M518,84,M518,EAST HARLEM SCHOLARS ACADEMY CHARTER SCHOOL (84M518),Manhattan,Charter,34,0-5,NA,0-5,NA,1,1,No,No,No
84M523,84,M523,SUCCESS ACADEMY CHARTER SCHOOL - UPPER WEST (84M523),Manhattan,Charter,71,34,47.9,8,23.5,0,0,No,No,No
84M704,84,M704,HARBOR SCIENCE AND ARTS CHARTER SCHOOL (84M704),Manhattan,Charter,33,0-5,NA,0-5,NA,1,1,No,No,No
84M708,84,M708,HARLEM PREP CHARTER SCHOOL (84M708),Manhattan,Charter,28,0-5,NA,0-5,NA,1,1,No,No,No
84M709,84,M709,HARLEM VILLAGE ACADEMY WEST CHARTER SCHOOL,Manhattan,Charter,26,16,61.5,0-5,NA,0,1,No,No,No
84M726,84,M726,KIPP STAR COLLEGE PREP CHARTER SCHOOL (84M726),Manhattan,Charter,15,0-5,NA,0-5,NA,1,1,No,No,No
84M861,84,M861,FUTURE LEADERS INSTITUTE CHARTER SCHOOL (84M861),Manhattan,Charter,47,11,23.4,0-5,NA,0,1,No,No,No
84Q083,84,Q083,CENTRAL QUEENS ACADEMY CHARTER SCHOOL (84Q083),Queens,Charter,92,29,31.5,9,31,0,0,No,No,No
84Q298,84,Q298,MIDDLE VILLAGE PREP CHARTER SCHOOL (84Q298),Queens,Charter,112,49,43.8,0-5,NA,0,1,No,No,No
84Q304,84,Q304,VOICE CHARTER SCHOOL OF NEW YORK (84Q304),Queens,Charter,89,30,33.7,0-5,NA,0,1,No,No,No
84Q321,84,Q321,GROWING UP GREEN CHARTER SCHOOL (84Q321),Queens,Charter,89,24,27,0-5,NA,0,1,No,No,No
84Q340,84,Q340,CHALLENGE PREPARATORY CHARTER SCHOOL (84Q340),Queens,Charter,30,10,33.3,0-5,NA,0,1,No,No,No
84Q341,84,Q341,RIVERTON STREET CHARTER SCHOOL (84Q341),Queens,Charter,92,34,37,0-5,NA,0,1,No,No,No
84Q380,84,Q380,FORTE PREPARATORY ACADEMY CHARTER SCHOOL (84Q380),Queens,Charter,83,51,61.4,0-5,NA,0,1,No,No,No
84Q705,84,Q705,RENAISSANCE CHARTER SCHOOL (84Q705),Queens,Charter,20,11,55,0-5,NA,0,1,No,No,No
84Q706,84,Q706,OUR WORLD NEIGHBORHOOD CHARTER SCHOOL (84Q706),Queens,Charter,76,30,39.5,0-5,NA,0,1,No,No,No
84R067,84,R067,JOHN W. LAVELLE PREPARATORY CHARTER SCHOOL (84R067),StatenIsland,Charter,26,0-5,NA,0-5,NA,1,1,No,No,No
84R073,84,R073,NEW WORLD PREPARATORY CHARTER SCHOOL (84R073),StatenIsland,Charter,120,10,8.3,0-5,NA,0,1,No,No,No
84X124,84,X124,CHILDREN'S AID COLLEGE PREP CHARTER SCHOOL (84X124),Bronx,Charter,65,14,21.5,0-5,NA,0,1,No,No,No
84X133,84,X133,ICAHN CHARTER SCHOOL 6 (84X133),Bronx,Charter,33,11,33.3,0-5,NA,0,1,No,No,No
84X165,84,X165,GRAND CONCOURSE CHARTER SCHOOL (84X165),Bronx,Charter,49,19,38.8,0-5,NA,0,1,No,No,No
84X177,84,X177,MOTT HALL CHARTER SCHOOL (84X177),Bronx,Charter,102,11,10.8,0-5,NA,0,1,No,No,No
84X185,84,X185,BRONX LIGHTHOUSE CHARTER SCHOOL (84X185),Bronx,Charter,10,0-5,NA,0-5,NA,1,1,No,No,No
84X233,84,X233,FAMILY LIFE ACADEMY CHARTER SCHOOL II (84X233),Bronx,Charter,109,37,33.9,0-5,NA,0,1,No,No,No
