ATS_CODE,BORO,BORONUM,LOC_CODE,ADDRESS,STATE_CODE,ZIP,City,DBN,Dist,MS,Borough,CSD,Total Stud,Students T,Percent of,Total St_1,Percent _1,Fewer than,Fewer th_1,Gifted and,HS Program,Citywide,result_num,status,formatted_,place_id,location_t,latlong
09X313      ,X,2,X313,1600 WEBSTER AVENUE,NY,"10457",BRONX,09X313,"9",I.S. 313 SCHOOL OF LEADERSHIP DEVELOPMENT (09X313),Bronx,D9,"82",0-5,NA,0-5,NA,"1","1",No,No,No,,,,,,
17K382      ,K,2,K382,911 FLATBUSH AVENUE,NY,"11226",BROOKLYN,17K382,"17",ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL (17K382),Brooklyn,D17,"40",0-5,NA,0-5,NA,"1","1",No,No,No,,,,,,
84X309,X,2,X309,383 EAST 139 STREET,NY,"10454",BRONX,84X309,"84",SOUTH BRONX CHARTER SCHOOL FOR INTERNATIONAL CULTURES AND THE ARTS (84X309),Bronx,Charter,"43","6","14",0-5,NA,"0","1",No,No,No,,,,,,
10X308      ,X,2,X308,3617 BAINBRIDGE AVENUE,NY,"10467",BRONX,10X308,"10",BRONX DANCE ACADEMY SCHOOL (10X308),Bronx,D10,"80","16","20",0-5,NA,"0","1",No,No,No,,,,,,
75K396      ,K,2,K396,110 CHESTER STREET,NY,"11212",BROOKLYN,75K396,"75",P.S. K396 (75K396),Brooklyn,D75,"3",0-5,NA,0-5,NA,"1","1",No,No,No,,,,,,
12X286      ,X,2,X286,1001 JENNINGS STREET,NY,"10460",BRONX,12X286,"12",FANNIE LOU HAMER MIDDLE SCHOOL (12X286),Bronx,D12,"93","19","20.4",0-5,NA,"0","1",No,No,No,,,,,,
10X280      ,X,2,X280,3202 STEUBEN AVENUE,NY,"10467",BRONX,10X280,"10",P.S./M.S. 280 MOSHOLU PARKWAY (10X280),Bronx,D10,"93","23","24.7",0-5,NA,"0","1",No,No,No,,,,,,
17K394      ,K,2,K394,188 ROCHESTER AVENUE,NY,"11213",BROOKLYN,17K394,"17",M.S. K394 (17K394),Brooklyn,D17,"49",0-5,NA,0-5,NA,"1","1",No,No,No,,,,,,
10X279      ,X,2,X279,2100 WALTON AVENUE,NY,"10453",BRONX,10X279,"10","P.S. 279 CAPTAIN MANUEL RIVERA, JR. (10X279)",Bronx,D10,"116","21","18.1",0-5,NA,"0","1",No,No,No,,,,,,
23K392      ,K,2,K392,104 SUTTER AVENUE,NY,"11212",BROOKLYN,23K392,"23",I.S. 392 (23K392),Brooklyn,D23,"91","46","50.5",0-5,NA,"0","1",No,No,No,,,,,,
32K383      ,K,2,K383,1300 GREENE AVENUE,NY,"11237",BROOKLYN,32K383,"32",J.H.S. 383 PHILIPPA SCHUYLER (32K383),Brooklyn,D32,"271","169","62.4","6","3.6","0","0",No,No,No,,,,,,
